City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
381,Mitu,1.1983,-70.1733,73.11,61,100,2.59,CO,2022-01-29 00:48:10
382,Galveston,29.3669,-94.9669,55.49,50,0,9.22,US,2022-01-29 00:48:11
383,Vao,-22.6667,167.4833,78.49,83,100,24.54,NC,2022-01-29 00:48:11
384,Marfino,55.7028,37.3822,21.45,85,75,6.71,RU,2022-01-29 00:48:11
385,Izyum,49.2088,37.2485,31.44,93,100,10.25,UA,2022-01-29 00:48:12
386,Boromlya,50.6184,34.9704,30.63,98,100,11.05,UA,2022-01-29 00:48:12
387,Ambilobe,-13.2,49.05,73.26,91,99,2.24,MG,2022-01-29 00:48:12
388,Ossora,59.2353,163.0719,33.01,90,100,14.05,RU,2022-01-29 00:48:13
389,Bralostita,44.5,23.5167,32.67,79,100,12.24,RO,2022-01-29 00:48:13
390,Morant Bay,17.8815,-76.4093,80.22,77,39,2.82,JM,2022-01-29 00:48:14
391,Morwa,22.9,73.8333,55.65,36,0,7.58,IN,2022-01-29 00:48:14
392,Sulzbach-Rosenberg,49.4983,11.7517,36.07,94,100,8.88,DE,2022-01-29 00:48:15
393,Luganville,-15.5333,167.1667,80.15,86,100,14.09,VU,2022-01-29 00:48:15
394,Chapleau,47.8405,-83.4034,-2.11,84,75,3.44,CA,2022-01-29 00:48:15
395,Vuktyl,63.8567,57.3094,3.67,93,100,8.5,RU,2022-01-29 00:48:16
396,Tura,25.5198,90.2201,49.5,57,0,3.47,IN,2022-01-29 00:46:45
397,Itarema,-2.9248,-39.9167,73.6,81,100,6.69,BR,2022-01-29 00:48:16
398,Namatanai,-3.6667,152.4333,83.71,75,100,4.94,PG,2022-01-29 00:47:52
399,Chute-Aux-Outardes,49.1168,-68.399,1.71,54,0,3.44,CA,2022-01-29 00:48:17
400,Hirado,33.3597,129.5531,46.38,49,93,9.71,JP,2022-01-29 00:48:17
