City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sainte-Marie,RE,-20.8968,55.5496,78.67,76,0,3.44,clear sky
80,Butaritari,KI,3.0707,172.7902,81.64,80,55,16.33,broken clouds
81,Oranjemund,NA,-28.55,16.4333,62.35,92,8,13.89,clear sky
82,Port Elizabeth,ZA,-33.918,25.5701,65.1,94,20,8.05,few clouds
83,Dhidhdhoo,MV,6.8833,73.1,82.02,74,40,19.35,scattered clouds
84,Sitka,US,57.0531,-135.33,42.69,81,100,18.41,moderate rain
85,Ziro,IN,27.6333,93.8333,36.34,41,0,1.23,clear sky
86,Touros,BR,-5.1989,-35.4608,74.3,82,100,8.05,moderate rain
87,Izyum,UA,49.2088,37.2485,30.7,97,100,14.74,snow
88,Manakara,MG,-22.1333,48.0167,72.75,77,5,2.53,clear sky
89,Khani,GE,41.9563,42.9566,18.97,76,13,8.23,few clouds
90,Ambilobe,MG,-13.2,49.05,75.63,87,89,1.79,overcast clouds
91,Council Bluffs,US,41.2619,-95.8608,28.24,61,0,12.66,clear sky
92,Guanica,PR,17.9716,-66.908,74.98,87,4,1.99,clear sky
93,Najran,SA,17.4924,44.1277,47.05,33,89,1.25,overcast clouds
94,Port-Gentil,GA,-0.7193,8.7815,79.72,84,100,10.0,overcast clouds
95,Carnarvon,AU,-24.8667,113.6333,89.67,48,1,16.11,clear sky
96,Qufu,CN,35.5967,116.9911,41.43,30,23,1.72,few clouds
97,Havoysund,NO,70.9963,24.6622,16.68,78,88,8.72,overcast clouds
98,San Pedro,PH,14.35,121.0167,89.35,67,20,9.22,few clouds
99,Lebu,CL,-37.6167,-73.65,57.7,92,4,4.72,clear sky
100,Talnakh,RU,69.4865,88.3972,-0.8,95,100,10.36,light snow
101,Ostrovnoy,RU,68.0531,39.5131,13.5,92,98,9.46,overcast clouds
102,Aklavik,CA,68.2191,-135.0107,-19.37,88,6,6.35,clear sky
103,Paamiut,GL,61.994,-49.6678,21.88,83,100,26.26,light snow
104,Lompoc,US,34.6391,-120.4579,58.93,62,0,0.0,clear sky
105,Miranda,CO,3.2499,-76.2281,69.93,95,93,1.12,overcast clouds
106,Lavrentiya,RU,65.5833,-171.0,-8.52,94,32,4.56,scattered clouds
107,Yerky,UA,48.9906,30.9882,30.58,88,100,16.78,overcast clouds
108,Toora-Khem,RU,52.4675,96.11,-10.01,97,94,2.39,overcast clouds
109,Kahului,US,20.8947,-156.47,80.62,57,0,5.75,clear sky
110,San Cristobal,VE,7.7669,-72.225,69.98,83,4,3.11,clear sky
111,Carauari,BR,-4.8828,-66.8958,73.11,99,100,1.79,overcast clouds
112,Clarence Town,AU,-32.5833,151.7833,89.62,34,2,8.72,clear sky
113,Hithadhoo,MV,-0.6,73.0833,80.87,66,48,7.9,scattered clouds
114,Pitimbu,BR,-7.4706,-34.8086,73.99,76,100,9.75,moderate rain
115,Terre Haute,US,39.4667,-87.4139,17.42,82,0,1.99,clear sky
116,Salinopolis,BR,-0.6136,-47.3561,76.5,90,100,14.58,overcast clouds
117,Camacupa,AO,-12.0167,17.4833,61.41,97,100,3.24,overcast clouds
118,Marsh Harbour,BS,26.5412,-77.0636,73.58,66,100,21.41,overcast clouds
119,Flinders,AU,-34.5833,150.8552,88.81,66,84,7.0,broken clouds
120,Mizdah,LY,31.4451,12.9801,40.86,50,0,7.36,clear sky
121,Victoria,HK,22.2855,114.1577,69.24,84,97,1.01,overcast clouds
122,Zeya,RU,53.75,127.2667,10.13,54,100,6.91,overcast clouds
123,Kirakira,SB,-10.4544,161.9205,83.48,75,99,8.55,overcast clouds
124,Dallas,US,32.7668,-96.7836,47.12,46,0,6.91,clear sky
125,Ahipara,NZ,-35.1667,173.1667,74.93,51,100,7.31,overcast clouds
126,Kaitangata,NZ,-46.2817,169.8464,64.92,73,99,6.73,overcast clouds
127,Beringovskiy,RU,63.05,179.3167,-0.92,98,99,0.47,overcast clouds
128,Ilhabela,BR,-23.7781,-45.3581,74.21,95,100,6.71,overcast clouds
129,Avera,US,33.194,-82.5271,40.87,57,24,18.52,few clouds
130,New Norfolk,AU,-42.7826,147.0587,71.91,53,99,3.0,overcast clouds
131,Haines Junction,CA,60.7522,-137.5108,26.55,68,100,10.36,overcast clouds
132,Luderitz,NA,-26.6481,15.1594,66.42,75,0,20.49,clear sky
133,Miandrivazo,MG,-19.5167,45.4667,78.78,78,46,1.9,light rain
134,Makakilo City,US,21.3469,-158.0858,77.32,67,40,10.36,scattered clouds
135,Deputatskiy,RU,69.3,139.9,-22.29,97,85,1.79,overcast clouds
136,Geraldton,AU,-28.7667,114.6,106.21,21,0,12.66,clear sky
137,Sao Filipe,CV,14.8961,-24.4956,70.5,70,87,10.8,overcast clouds
138,Humaita,BR,-7.5061,-63.0208,72.91,99,100,2.93,moderate rain
139,Coroieni,RO,47.3667,23.7667,32.76,96,78,5.44,broken clouds
140,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,29.93,heavy snow
141,La Ciotat,FR,43.1748,5.6045,43.47,62,14,4.54,few clouds
142,Tessalit,ML,20.1986,1.0114,60.28,17,12,11.95,few clouds
143,Baykit,RU,61.67,96.37,-3.78,98,100,2.59,overcast clouds
144,Beyneu,KZ,45.3167,55.2,27.59,83,100,13.24,overcast clouds
145,Plainview,US,40.7765,-73.4673,30.96,82,100,3.0,snow
146,Vila Do Maio,CV,15.1333,-23.2167,68.79,72,100,17.11,overcast clouds
147,Vestmannaeyjar,IS,63.4427,-20.2734,25.75,68,58,27.98,broken clouds
148,Cabo Rojo,PR,18.0866,-67.1457,74.73,89,2,3.53,clear sky
149,Finschhafen,PG,-6.6024,147.8681,81.23,83,100,11.48,light rain
150,Mahebourg,MU,-20.4081,57.7,84.25,94,40,1.14,scattered clouds
151,Griffith,US,41.5284,-87.4237,19.06,69,40,1.01,scattered clouds
152,Plettenberg Bay,ZA,-34.0527,23.3716,60.71,78,27,3.36,scattered clouds
153,Yarmouth,US,41.7057,-70.2286,36.14,84,100,14.0,snow
154,Fayaoue,NC,-20.65,166.5333,80.4,84,100,13.51,overcast clouds
155,Nanortalik,GL,60.1432,-45.2371,27.14,78,100,12.71,light snow
156,Nsanje,MW,-16.92,35.262,72.46,98,29,1.74,scattered clouds
157,Ilulissat,GL,69.2167,-51.1,23.02,50,100,17.27,overcast clouds
158,Cayenne,GF,4.9333,-52.3333,74.08,91,100,6.91,overcast clouds
159,Joshimath,IN,30.5667,79.5667,51.55,35,0,0.87,clear sky
160,Jamestown,US,42.097,-79.2353,13.32,85,100,10.36,overcast clouds
161,Husavik,IS,66.0449,-17.3389,24.71,95,100,27.72,snow
162,Inuvik,CA,68.3499,-133.7218,-15.59,73,20,2.3,few clouds
163,Hyeres,FR,43.1167,6.1167,43.34,93,0,5.75,clear sky
164,Bredasdorp,ZA,-34.5322,20.0403,59.29,75,52,6.4,broken clouds
165,Fuerte Olimpo,PY,-21.0415,-57.8738,74.25,83,18,2.19,few clouds
166,Igarka,RU,67.4667,86.5833,-0.92,95,100,16.58,overcast clouds
167,San Patricio,US,28.017,-97.5169,52.83,49,0,5.99,clear sky
168,Itaueira,BR,-7.6033,-43.0256,70.12,98,100,3.71,overcast clouds
169,Letterkenny,IE,54.95,-7.7333,51.4,84,56,23.26,broken clouds
170,Snasa,NO,64.2457,12.3778,28.83,97,100,3.56,snow
171,Salym,RU,60.0625,71.4789,-11.56,100,100,3.53,overcast clouds
172,Parana,AR,-31.732,-60.5238,63.46,93,0,8.32,clear sky
173,Bara,NG,10.3744,10.7288,62.6,28,97,10.04,overcast clouds
174,Chapais,CA,49.7834,-74.8492,-25.82,100,26,3.2,scattered clouds
175,Saint-Philippe,RE,-21.3585,55.7679,78.12,76,0,6.69,clear sky
176,Sanary-Sur-Mer,FR,43.1178,5.8001,43.54,68,17,5.41,few clouds
177,Santiago De Cuba,CU,20.0247,-75.8219,77.11,83,20,3.44,few clouds
178,Ponta Do Sol,PT,32.6667,-17.1,61.43,52,67,4.47,broken clouds
179,Ransang,PH,8.9603,117.5828,85.21,67,88,3.71,overcast clouds
180,Never,FR,46.9896,3.159,33.55,96,44,2.3,scattered clouds
181,Souillac,MU,-20.5167,57.5167,83.35,94,40,1.14,scattered clouds
182,Provideniya,RU,64.3833,-173.3,-0.94,97,15,3.31,few clouds
183,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,67,0,9.22,clear sky
184,Victoria Point,AU,-27.5833,153.3,90.45,64,25,8.01,light rain
185,Arkhangelsk,RU,64.5401,40.5433,15.91,86,75,4.47,light snow
186,Upernavik,GL,72.7868,-56.1549,9.12,71,100,3.36,overcast clouds
187,Verkhoyansk,RU,67.5447,133.385,-26.88,99,98,2.35,overcast clouds
188,Szprotawa,PL,51.5656,15.5366,36.23,86,100,10.13,overcast clouds
189,Krasnyy Oktyabr,RU,56.1167,38.8833,17.13,96,100,4.52,snow
190,Kavieng,PG,-2.5744,150.7967,83.28,73,100,3.04,light rain
191,Wewak,PG,-3.5534,143.6268,82.29,78,94,4.81,overcast clouds
192,Naifaru,MV,5.4444,73.3657,82.18,69,52,20.04,broken clouds
193,Takoradi,GH,4.8845,-1.7554,77.94,84,13,1.54,few clouds
194,Bantou,CN,26.2151,117.4893,49.42,87,100,3.4,overcast clouds
195,Khorixas,NA,-20.3667,14.9667,65.37,54,69,6.87,broken clouds
196,Barra Do Garcas,BR,-15.89,-52.2567,70.57,98,85,3.8,overcast clouds
197,Mineral Wells,US,32.8085,-98.1128,46.38,41,0,0.0,clear sky
198,San Jose,US,37.3394,-121.895,58.21,63,40,0.0,smoke
199,Skjervoy,NO,70.0311,20.9714,25.0,70,61,13.89,broken clouds
200,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,93,100,4.47,light shower snow
201,Barrow,US,71.2906,-156.7887,-5.78,77,100,17.27,overcast clouds
202,Port Hardy,CA,50.6996,-127.4199,45.75,81,100,3.44,overcast clouds
203,Arraial Do Cabo,BR,-22.9661,-42.0278,75.6,92,98,5.46,overcast clouds
204,Waddan,LY,29.1614,16.139,42.39,73,0,2.53,clear sky
205,Burnie,AU,-41.0667,145.9167,73.94,73,72,7.54,broken clouds
206,Ancud,CL,-41.8697,-73.8203,56.73,84,0,2.71,clear sky
207,Kovur,IN,14.4833,79.9833,77.7,72,30,11.14,scattered clouds
208,Kalmunai,LK,7.4167,81.8167,80.65,78,28,4.7,scattered clouds
209,Constitucion,CL,-35.3333,-72.4167,56.39,93,7,3.87,clear sky
210,Ridgecrest,US,35.6225,-117.6709,51.15,20,40,8.05,scattered clouds
211,Martapura,ID,-3.4167,114.85,84.29,70,0,4.61,clear sky
212,Pisco,PE,-13.7,-76.2167,69.85,73,0,3.44,clear sky
213,Nanakuli,US,21.3906,-158.1547,78.75,73,40,10.36,scattered clouds
214,Viedma,AR,-40.8135,-62.9967,77.54,36,0,19.01,clear sky
215,Vostok,RU,46.4856,135.8833,-2.88,86,100,11.63,overcast clouds
216,Saint George,US,37.1041,-113.5841,52.27,26,0,1.99,clear sky
217,Cabo San Lucas,MX,22.8909,-109.9124,70.52,64,0,1.99,clear sky
218,Veraval,IN,20.9,70.3667,70.77,31,12,10.07,few clouds
219,Luwuk,ID,-0.9516,122.7875,85.03,67,100,1.92,overcast clouds
220,Port Lincoln,AU,-34.7333,135.8667,72.73,63,81,14.9,broken clouds
221,Jagdalpur,IN,19.0667,82.0333,66.27,30,12,4.16,few clouds
222,Hakkari,TR,37.5833,44.1667,3.09,96,84,2.55,broken clouds
223,Thompson,CA,55.7435,-97.8558,-7.44,77,100,0.0,overcast clouds
224,Kavaratti,IN,10.5669,72.642,80.67,72,7,10.65,clear sky
225,Kawambwa,ZM,-9.7915,29.0791,61.63,96,100,1.92,light rain
226,Acajutla,SV,13.5928,-89.8275,77.81,74,0,8.43,clear sky
227,Saldanha,ZA,-33.0117,17.9442,57.25,81,0,10.71,clear sky
228,Kirksville,US,40.1948,-92.5833,16.05,66,0,1.01,clear sky
229,Broome,US,42.2506,-75.833,15.17,81,100,1.99,overcast clouds
230,Kampot,KH,10.6167,104.1833,84.25,58,37,3.87,scattered clouds
231,Beloha,MG,-25.1667,45.05,75.63,64,1,7.14,clear sky
232,Saskylakh,RU,71.9167,114.0833,-3.8,94,100,5.06,overcast clouds
233,Altamira,BR,-3.2033,-52.2064,72.05,99,100,3.38,moderate rain
234,Villazon,BO,-22.0866,-65.5942,50.31,81,100,9.78,overcast clouds
235,Bela Vista,BR,-22.1089,-56.5211,72.12,95,30,0.58,scattered clouds
236,Cherskiy,RU,68.75,161.3,-11.11,95,100,2.84,overcast clouds
237,Eureka,US,40.8021,-124.1637,47.59,81,35,4.18,scattered clouds
238,Sao Francisco De Paula,BR,-29.4481,-50.5836,57.69,91,80,2.3,broken clouds
239,Palmer,US,42.1584,-72.3287,31.08,71,100,5.75,overcast clouds
240,Altyn-Topkan,TJ,40.6528,69.5998,27.07,84,100,4.38,overcast clouds
241,Gore,NZ,-46.1028,168.9436,66.22,26,82,10.11,broken clouds
242,Wukari,NG,7.85,9.7833,74.01,23,92,11.48,overcast clouds
243,Cidreira,BR,-30.1811,-50.2056,69.39,75,20,12.15,few clouds
244,Yellowknife,CA,62.456,-114.3525,-7.58,84,20,6.91,few clouds
245,Sioux Lookout,CA,50.1001,-91.917,-0.02,84,40,3.44,scattered clouds
246,North Bend,US,43.4065,-124.2243,47.91,100,0,3.44,clear sky
247,Tautira,PF,-17.7333,-149.15,84.0,75,24,16.2,light rain
248,Alofi,NU,-19.0595,-169.9187,75.09,94,70,6.91,broken clouds
249,Pontes E Lacerda,BR,-15.2261,-59.3353,72.61,99,100,2.28,overcast clouds
250,Laguna,US,38.421,-121.4238,55.31,74,0,0.0,clear sky
251,Milkovo,RU,54.7167,158.6167,24.76,92,100,2.93,light snow
252,Ashland,US,40.8167,-82.2665,11.66,80,57,8.39,broken clouds
253,Maragogi,BR,-9.0122,-35.2225,76.24,86,100,8.12,overcast clouds
254,Acapulco,MX,16.8634,-99.8901,78.62,83,20,3.44,few clouds
255,Asilah,MA,35.465,-6.0348,58.86,84,39,13.15,scattered clouds
256,Half Moon Bay,US,37.4636,-122.4286,58.24,64,0,0.0,clear sky
257,Asau,RO,46.4333,26.4,31.28,92,62,4.54,broken clouds
258,Faanui,PF,-16.4833,-151.75,80.91,74,14,14.74,moderate rain
259,Oria,ES,43.2554,-2.0187,40.86,85,13,1.99,few clouds
260,Holme,DK,56.1138,10.1725,44.46,93,100,17.85,overcast clouds
261,Lagoa,PT,39.05,-27.9833,57.9,55,18,12.15,few clouds
262,Tuatapere,NZ,-46.1333,167.6833,66.81,47,100,1.54,overcast clouds
263,Yarim,YE,14.298,44.3779,46.54,35,25,3.2,scattered clouds
264,Pevek,RU,69.7008,170.3133,-10.93,99,100,2.28,overcast clouds
265,Palana,RU,59.1167,159.9667,29.97,66,99,17.67,overcast clouds
266,Tasiilaq,GL,65.6145,-37.6368,14.16,68,66,6.2,broken clouds
267,Saumur,FR,47.3333,-0.25,43.9,96,96,7.14,overcast clouds
268,Sicuani,PE,-14.2694,-71.2261,48.88,83,100,2.57,overcast clouds
269,Hasaki,JP,35.7333,140.8333,46.8,65,100,6.64,overcast clouds
270,Natchez,US,31.5604,-91.4032,43.02,49,0,5.75,clear sky
271,Puro,PH,12.4841,123.3827,83.89,71,34,2.73,scattered clouds
272,Horadiz,AZ,39.4488,47.3353,30.97,78,55,2.06,broken clouds
273,The Valley,AI,18.217,-63.0578,76.86,67,0,15.12,clear sky
274,Teya,RU,60.3778,92.6267,6.98,93,100,6.26,light snow
275,Tyrma,RU,50.0833,132.1667,-5.44,83,72,2.06,broken clouds
276,Saint Charles,US,38.7667,-90.7335,18.88,63,0,1.01,clear sky
277,Ekibastuz,KZ,51.6667,75.3667,6.48,82,43,5.99,scattered clouds
278,Buraydah,SA,26.326,43.975,50.45,38,97,7.87,overcast clouds
279,Kimbe,PG,-5.5502,150.1429,83.57,74,100,5.19,light rain
280,Okmulgee,US,35.6234,-95.9605,36.32,59,0,3.44,clear sky
281,Iralaya,HN,15.0,-83.2333,74.73,86,68,9.57,broken clouds
282,Mopipi,BW,-21.1833,24.8833,71.01,86,96,9.71,light rain
283,Morehead,US,37.2711,-87.1764,25.14,71,100,4.0,overcast clouds
284,Koumac,NC,-20.5667,164.2833,84.2,72,98,14.81,overcast clouds
285,Port Dickson,MY,2.5228,101.7959,88.02,66,15,2.44,few clouds
286,Heihe,CN,50.2441,127.4902,1.98,70,29,13.29,scattered clouds
287,Kargasok,RU,59.0556,80.8572,-4.76,99,91,5.23,overcast clouds
288,Bambous Virieux,MU,-20.3428,57.7575,84.22,94,40,1.14,scattered clouds
289,Nuuk,GL,64.1835,-51.7216,18.21,93,100,12.66,snow
290,Cody,US,44.5263,-109.0565,30.4,43,34,12.71,scattered clouds
291,Asfi,MA,32.2994,-9.2372,58.68,56,30,7.27,scattered clouds
292,Karratha,AU,-20.7377,116.8463,91.35,45,50,15.28,scattered clouds
293,Hirara,JP,24.8,125.2833,69.66,100,75,4.61,broken clouds
294,Zhob,PK,31.3411,69.4481,49.62,33,2,1.79,clear sky
295,Kirkwall,GB,58.9848,-2.9587,53.94,82,100,36.82,overcast clouds
296,Gondanglegi,ID,-7.7479,112.0132,85.95,69,99,5.79,overcast clouds
297,Manzhouli,CN,49.6,117.4333,2.35,73,3,6.64,clear sky
298,Nadym,RU,65.5333,72.5167,-8.93,96,71,8.3,broken clouds
299,Iznik,TR,40.4286,29.7211,39.15,84,94,7.09,overcast clouds
300,Beian,NO,63.6559,9.5683,44.69,87,75,26.46,light rain
301,Mao,ES,39.8885,4.2658,46.96,76,0,8.05,clear sky
302,Vaitape,PF,-16.5167,-151.75,80.87,75,14,14.7,moderate rain
303,Longyearbyen,SJ,78.2186,15.6401,8.44,78,0,16.11,clear sky
304,Galveston,US,29.3669,-94.9669,52.14,55,0,8.68,clear sky
305,Sorong,ID,-0.8833,131.25,81.27,81,95,7.09,overcast clouds
306,San Andres,CO,12.5847,-81.7006,80.62,69,20,8.05,few clouds
307,Champerico,GT,14.3,-91.9167,82.35,73,1,7.36,clear sky
308,Bathsheba,BB,13.2167,-59.5167,75.06,84,20,8.05,few clouds
309,Bud,US,39.447,-86.1758,13.17,64,14,9.08,few clouds
310,Saint Anthony,US,45.0205,-93.218,8.55,73,20,4.0,few clouds
311,Vila,PT,42.0304,-8.1588,38.93,52,0,5.14,clear sky
312,Basoko,CD,1.2391,23.616,70.92,77,54,4.63,broken clouds
313,Atar,MR,20.5169,-13.0499,69.62,25,100,7.72,overcast clouds
314,Rabaul,PG,-4.1967,152.1721,84.34,71,98,12.33,light rain
315,Te Anau,NZ,-45.4167,167.7167,69.62,45,99,6.93,heavy intensity rain
316,Eyl,SO,7.9803,49.8164,72.99,72,100,16.44,overcast clouds
317,Sol-Iletsk,RU,51.1631,54.9918,9.1,94,92,3.29,overcast clouds
318,Grindavik,IS,63.8424,-22.4338,27.07,68,75,19.57,broken clouds
319,Guarapari,BR,-20.6667,-40.4975,78.69,88,85,12.5,overcast clouds
320,Phan Thiet,VN,10.9333,108.1,86.49,49,14,7.45,few clouds
321,Ribeira Grande,PT,38.5167,-28.7,58.33,61,44,6.96,scattered clouds
322,Alice Springs,AU,-23.7,133.8833,78.35,89,75,9.22,light intensity shower rain
323,Jalu,LY,29.0331,21.5482,50.13,80,61,7.94,broken clouds
324,Ulladulla,AU,-35.35,150.4667,85.1,77,100,5.53,light rain
325,Bintulu,MY,3.1667,113.0333,84.61,83,40,5.01,scattered clouds
326,Port Moresby,PG,-9.4431,147.1797,74.62,94,40,17.27,haze
327,Visby,SE,57.6409,18.296,35.76,86,91,13.8,overcast clouds
328,Voznesenye,RU,61.0106,35.4781,14.83,97,100,3.87,overcast clouds
329,Hagere Selam,ET,6.4833,38.5167,46.33,43,96,2.66,overcast clouds
330,Hamilton,US,39.1834,-84.5333,17.4,85,75,1.99,broken clouds
331,Ratnagiri,IN,16.9833,73.3,79.47,30,8,12.39,clear sky
